longname,name,sentencename,slug,regionslug,lowincome
Czech Republic,Czech Republic,the Czech Republic,czech-republic,Europe,FALSE
Estonia,Estonia,Estonia,estonia,Europe,FALSE
Greece,Greece,Greece,greece,Europe,FALSE
Hungary,Hungary,Hungary,hungary,Europe,FALSE
Kosovo,Kosovo,Kosovo,kosovo,Europe,TRUE
Latvia,Latvia,Latvia,latvia,Europe,FALSE
Lithuania,Lithuania,Lithuania,lithuania,Europe,FALSE
Montenegro,Montenegro,Montenegro,montenegro,Europe,TRUE
Poland,Poland,Poland,poland,Europe,FALSE
Republic of Moldova,Moldova,Moldova,moldova,Europe,TRUE
Romania,Romania,Romania,romania,Europe,TRUE
Russian Federation,Russia,Russia,russia,Europe,TRUE
Serbia,Serbia,Serbia,serbia,Europe,TRUE
Slovakia,Slovakia,Slovakia,slovakia,Europe,FALSE
Slovenia,Slovenia,Slovenia,slovenia,Europe,FALSE
The former Yugoslav Republic of Macedonia,Macedonia,Macedonia,macedonia,Europe,TRUE
Ukraine,Ukraine,Ukraine,ukraine,Europe,TRUE
Austria,Austria,Austria,austria,Europe,FALSE
Belgium,Belgium,Belgium,belgium,Europe,FALSE
Denmark,Denmark,Denmark,denmark,Europe,FALSE
Finland,Finland,Finland,finland,Europe,FALSE
France,France,France,france,Europe,FALSE
Germany,Germany,Germany,germany,Europe,FALSE
Iceland,Iceland,Iceland,iceland,Europe,FALSE
Ireland,Ireland,Ireland,ireland,Europe,FALSE
Italy,Italy,Italy,italy,Europe,FALSE
Luxembourg,Luxembourg,Luxembourg,luxembourg,Europe,FALSE
Malta,Malta,Malta,malta,Europe,FALSE
Netherlands,Netherlands,the Netherlands,netherlands,Europe,FALSE
Norway,Norway,Norway,norway,Europe,FALSE
Portugal,Portugal,Portugal,portugal,Europe,FALSE
Spain,Spain,Spain,spain,Europe,FALSE
Sweden,Sweden,Sweden,sweden,Europe,FALSE
Switzerland,Switzerland,Switzerland,switzerland,Europe,FALSE
United Kingdom of Great Britain and Northern Ireland,United Kingdom,the United Kingdom,united-kingdom,Europe,FALSE
Canada,Canada,Canada,canada,NA,FALSE
United States of America,US,the US,usa,NA,FALSE
